Tempo di misurazione,Peso(kg),BMI,Grasso corporeo(%),Peso corporeo senza grassi(kg),Grasso sottocutaneo(%),Grasso viscerale,Acqua corporea(%),Muscolo scheletrico(%),Massa muscolare(kg),Massa ossea(kg),Proteine(%),BMR(kcal),Età metabolica,Peso ottimale(kg),Obiettivo per un peso ottimale(kg),Obiettivo per una massa grassa ottimale(kg),Obiettivo per una massa muscolare ottimale(kg),Tipo di corpo,Osservazioni
2024-06-19 08:43:49,65.35,19.9,16.5,54.60,15.2,3.0,60.3,54.0,51.90,2.70,19.0,1549,38,,,,,,
2024-06-20 08:42:56,64.70,19.7,16.0,54.30,14.8,3.0,60.6,54.3,51.60,2.70,19.1,1543,39,,,,,,
2024-06-22 08:40:19,65.40,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1549,38,,,,,,
2024-06-23 07:51:57,65.40,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1549,38,,,,,,
2024-06-24 09:11:35,65.65,20.0,16.7,54.70,15.4,3.0,60.2,53.8,52.00,2.70,19.0,1551,38,,,,,,
2024-06-25 07:22:40,65.30,19.9,16.4,54.60,15.2,3.0,60.3,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-06-26 07:33:38,65.35,19.9,16.5,54.60,15.2,3.0,60.3,54.0,51.90,2.70,19.0,1549,38,,,,,,
2024-06-27 08:28:56,65.45,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1549,38,,,,,,
2024-06-28 07:36:08,65.05,19.9,16.3,54.50,15.0,3.0,60.5,54.1,51.80,2.70,19.1,1546,38,,,,,,
2024-06-29 08:50:56,65.20,19.9,16.4,54.50,15.1,3.0,60.4,54.0,51.80,2.73,19.1,1547,38,,,,,,
2024-06-30 07:58:33,65.30,19.9,16.4,54.60,15.2,3.0,60.3,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-07-01 07:13:40,65.45,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1550,38,,,,,,
